assmNum,assmName,level1,level2,level3,matchType
2029,n600 emt d/c strap concrete,Feeder,EMT,"D/C, Strap Concrete",unique
2035,n750 emt d/c strap concrete,Feeder,EMT,"D/C, Strap Concrete",unique
2044,5' drop n3 emt d/c strap 9',Feeder,EMT Drops,D/C Drops Strap,unique
2050,5' drop n2 emt d/c strap 9',Feeder,EMT Drops,D/C Drops Strap,unique
2056,5' drop n1 emt d/c strap 9',Feeder,EMT Drops,D/C Drops Strap,unique
2062,5' drop n1/0 emt d/c strap,Feeder,EMT Drops,D/C Drops Strap,unique
2068,5' drop n2/0 emt d/c strap,Feeder,EMT Drops,D/C Drops Strap,unique
2074,5' drop n3/0 emt d/c strap,Feeder,EMT Drops,D/C Drops Strap,unique
2080,5' drop n4/0 emt d/c strap,Feeder,EMT Drops,D/C Drops Strap,unique
2086,5' drop n250 emt d/c strap,Feeder,EMT Drops,D/C Drops Strap,unique
2092,5' drop n300 emt d/c strap,Feeder,EMT Drops,D/C Drops Strap,unique
2098,5' drop n350 emt d/c strap,Feeder,EMT Drops,D/C Drops Strap,unique
2104,5' drop n400 emt d/c strap,Feeder,EMT Drops,D/C Drops Strap,unique
2110,5' drop n500 emt d/c strap,Feeder,EMT Drops,D/C Drops Strap,unique
2116,5' drop n600 emt d/c strap,Feeder,EMT Drops,D/C Drops Strap,unique
2122,5' drop n750 emt d/c strap,Feeder,EMT Drops,D/C Drops Strap,unique
2135,n14 emt d/c/i strap,Branch,EMT,"D/C, Strap",unique
2144,n12 emt d/c/i strap,Branch,EMT,"D/C, Strap",unique
2153,n10 emt d/c/i strap,Branch,EMT,"D/C, Strap",unique
2195,emt s/s strap,Branch,EMT,"S/S, Strap",distance
2207,emt s/s strap concrete,Branch,EMT,"S/S, Strap Concrete",distance
2219,emt s/s beam clamp,Branch,EMT,S/S Beam Clamp,distance
2414,n14 emt s/s strap,Branch,EMT,"S/S, Strap",unique
2423,n12 emt s/s strap,Branch,EMT,"S/S, Strap",unique
2432,n10 emt s/s strap,Branch,EMT,"S/S, Strap",unique
2441,n8 emt s/s strap,Branch,EMT,"S/S, Strap",unique
2448,n6 emt s/s strap,Branch,EMT,"S/S, Strap",unique
2454,n4 emt s/s strap,Branch,EMT,"S/S, Strap",unique
2460,n3 emt s/s strap,Feeder,EMT,"S/S, Strap",unique
2466,n2 emt s/s strap,Feeder,EMT,"S/S, Strap",unique
2472,n1 emt s/s strap,Feeder,EMT,"S/S, Strap",unique
2478,n1/0 emt s/s strap,Feeder,EMT,"S/S, Strap",unique
2484,n2/0 emt s/s strap,Feeder,EMT,"S/S, Strap",unique
2490,n3/0 emt s/s strap,Feeder,EMT,"S/S, Strap",unique
2496,n4/0 emt s/s strap,Feeder,EMT,"S/S, Strap",unique
2502,n250 emt s/s strap,Feeder,EMT,"S/S, Strap",unique
2508,n300 emt s/s strap,Feeder,EMT,"S/S, Strap",unique
2514,n350 emt s/s strap,Feeder,EMT,"S/S, Strap",unique
2520,n400 emt s/s strap,Feeder,EMT,"S/S, Strap",unique
2526,n500 emt s/s strap,Feeder,EMT,"S/S, Strap",unique
2532,n600 emt s/s strap,Feeder,EMT,"S/S, Strap",unique
2538,n750 emt s/s strap,Feeder,EMT,"S/S, Strap",unique
2547,n14 emt s/s strap concrete,Branch,EMT,"S/S, Strap Concrete",unique
2556,n12 emt s/s strap concrete,Branch,EMT,"S/S, Strap Concrete",unique
2565,n10 emt s/s strap concrete,Branch,EMT,"S/S, Strap Concrete",unique
2574,n8 emt s/s strap concrete,Branch,EMT,"S/S, Strap Concrete",unique
2581,n6 emt s/s strap concrete,Branch,EMT,"S/S, Strap Concrete",unique
2587,n4 emt s/s strap concrete,Branch,EMT,"S/S, Strap Concrete",unique
2593,n3 emt s/s strap concrete,Feeder,EMT,"S/S, Strap Concrete",unique
2599,n2 emt s/s strap concrete,Feeder,EMT,"S/S, Strap Concrete",unique
2605,n1 emt s/s strap concrete,Feeder,EMT,"S/S, Strap Concrete",unique
2611,n1/0 emt s/s strap concrete,Feeder,EMT,"S/S, Strap Concrete",unique
2617,n2/0 emt s/s strap concrete,Feeder,EMT,"S/S, Strap Concrete",unique
2623,n3/0 emt s/s strap concrete,Feeder,EMT,"S/S, Strap Concrete",unique
2629,n4/0 emt s/s strap concrete,Feeder,EMT,"S/S, Strap Concrete",unique
2635,n250 emt s/s strap concrete,Feeder,EMT,"S/S, Strap Concrete",unique
2641,n300 emt s/s strap concrete,Feeder,EMT,"S/S, Strap Concrete",unique
2647,n350 emt s/s strap concrete,Feeder,EMT,"S/S, Strap Concrete",unique
2653,n400 emt s/s strap concrete,Feeder,EMT,"S/S, Strap Concrete",unique
2659,n500 emt s/s strap concrete,Feeder,EMT,"S/S, Strap Concrete",unique
2665,n600 emt s/s strap concrete,Feeder,EMT,"S/S, Strap Concrete",unique
2671,n750 emt s/s strap concrete,Feeder,EMT,"S/S, Strap Concrete",unique
2680,5' drop n3 emt s/s strap 9',Feeder,EMT Drops,S/S Drops Strap,unique
2686,5' drop n2 emt s/s strap 9',Feeder,EMT Drops,S/S Drops Strap,unique
