Item Name,Price Per foot or Unit,Bid Labor Per Foot or Unit
MC-AP-AL-12/3-SOL-CU,2.1336,0.025
MC-AP-AL-12/4-SOL-CU,3.1248,0.028
MC-AP-AL-10/2-SOL-CU,2.5536,0.025
MC-AP-AL-10/3-SOL-CU,3.5616,0.028
MC-AP-AL-10/4-SOL-CU,5.292,0.032
mc ap al cable w/str cu,,
MC-AP-AL-12/2-STR-CU,1.4784,0.022
MC-AP-AL-12/3-STR-CU,2.7384,0.025
MC-AP-AL-12/4-STR-CU,1.7976,0.028
MC-AP-AL-10/2-STR-CU,2.772,0.025
MC-AP-AL-10/3-STR-CU,4.5528,0.028
MC-AP-AL-10/4-STR-CU,6.8376,0.032
mc stl cable w/sol cu w,,
MC-STL-14/2-SOL-CU,1.26,0.02
MC-STL-14/3-SOL-CU,2.1,0.022
MC-STL-14/4-SOL-CU,2.4696,0.025
MC-STL-12/2-SOL-CU,1.3104,0.022
MC-STL-12/3-SOL-CU,2.3016,0.025
MC-STL-12/4-SOL-CU,3.024,0.028
MC-STL-10/2-SOL-CU,2.8728,0.025
MC-STL-10/3-SOL-CU,3.9984,0.028
MC-STL-10/4-SOL-CU,6.1488,0.032
mc pvc Jkt cable w/sol ,,
MC-PVC-JKT-14/2-SOL-CU,1.55841,0.02
MC-PVC-JKT-14/3-SOL-CU,2.772,0.022
MC-PVC-JKT-14/4-SOL-CU,10.6344,0.025
MC-PVC-JKT-12/2-SOL-CU,2.1,0.03
MC-PVC-JKT-12/3-SOL-CU,4.2168,0.025
MC-PVC-JKT-12/4-SOL-CU,4.2336,0.028
MC-PVC-JKT-10/2-SOL-CU,3.0744,0.025
MC-PVC-JKT-10/3-SOL-CU,4.9728,0.028
MC-PVC-JKT-10/4-SOL-CU,6.5688,0.032
MC-PVC-JKT-8/2-SOL-CU,6.972,0.028
MC-PVC-JKT-8/3-SOL-CU,6.5856,0.032
MC-PVC-JKT-8/4-SOL-CU,6.19046,0.039
feeder mc cable,,
mc cu feeder cable,,
 8/2 MC CU CABLE,3.3432,0.028
 8/3 MC CU CABLE,4.8048,0.032
 8/4 MC CU CABLE,5.712,0.039
 6/2 MC CU CABLE,4.956,0.032
 6/3 MC CU CABLE,7.224,0.038
 6/4 MC CU CABLE,8.8032,0.045
 4/3 MC CU CABLE,10.8696,0.05
 4/4 MC CU CABLE,15.288,0.06
 3/3 MC CU CABLE,11.6088,0.055
 3/4 MC CU CABLE,18.0264,0.062
 2/3 MC CU CABLE,25.788,0.062
 2/4 MC CU CABLE,19.6224,0.066
 1/3 MC CU CABLE,24.2256,0.07
mc al cable w/str al wi,,
8/2 AL MC CABLE W/ GRN ,3.5952,0.028
