level1,level2,level3,assmNum,assmName
,,,5777,n600 grc beam clamp
,,,5783,n750 grc  beam clamp
,,,5792,imc branch
,,,5793,imc 1/2
,,,5811,imc 3/4
,,,5829,imc 1
,,,5848,imc feeder
,,,5849,imc 1 1/4
,,,5878,imc 1 1/2
,,,5907,imc 2
,,,5936,imc 2 1/2
,,,5964,imc 3
,,,5992,imc 3 1/2
,,,6020,imc 4
,,,6050,n14 imc no strap
,,,6059,n12 imc no strap
,,,6068,n10 imc no strap
,,,6077,n8 imc no strap
,,,6084,n6 imc no strap
,,,6090,n4 imc no strap
,,,6095,n14 imc strap
,,,6104,n12 imc strap
,,,6113,n10 imc strap
,,,6122,n8 imc strap
,,,6129,n6 imc strap
,,,6135,n4 imc strap
,,,6140,n14 imc 3/4 strap
