Report Name:,,,,,Assemblies & Byproducts  (Permanent),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Assemblies+ByProducts,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
,57, 750 XHHW CU STRANDED 5,,,,1.00,,,0.00,,"$148,370.75",,,M,48.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,58,,1000 XHHW CU STRANDED,,,,$194.76, ,,0.054,, ,$167.75,,, ,,$188.72,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,58,1000 XHHW CU STRANDED 6,,,,1.00,,,0.00,,"$194,761.09",,,M,54.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,61,,cu use-rhw solid wire,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,62,,  12 USE-RHW CU SOLID,,,,$1.84, ,,0.004,, ,$1.70,,, ,,$1.92,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,62,  12 USE-RHW CU SOLID 2,,,,1.00,,,0.00,,"$1,842.68",,,M,4.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,63,,  10 USE-RHW CU SOLID,,,,$2.30, ,,0.005,, ,$2.12,,, ,,$2.39,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,63,  10 USE-RHW CU SOLID 3,,,,1.00,,,0.00,,"$2,295.17",,,M,5.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,65,,cu use-rhw stranded wire,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,66,,  14 USE-RHW CU STRANDED,,,,$1.86, ,,0.003,, ,$1.68,,, ,,$1.89,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,66,  14 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$1,855.70",,,M,3.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,67,,  12 USE-RHW CU STRANDED,,,,$1.97, ,,0.004,, ,$1.81,,, ,,$2.04,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,67,  12 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$1,970.71",,,M,4.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,68,,  10 USE-RHW CU STRANDED,,,,$2.40, ,,0.005,, ,$2.21,,, ,,$2.49,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,68,  10 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$2,401.76",,,M,5.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,69,,   8 USE-RHW CU STRANDED,,,,$4.29, ,,0.006,, ,$3.86,,, ,,$4.34,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,69,   8 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$4,290.71",,,M,6.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,70,,   6 USE-RHW CU STRANDED,,,,$6.88, ,,0.007,, ,$6.10,,, ,,$6.86,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,70,   6 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$6,879.74",,,M,7.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,71,,   4 USE-RHW CU STRANDED,,,,$10.48, ,,0.008,, ,$9.20,,, ,,$10.35,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,71,   4 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$10,482.53",,,M,8.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,72,,   3 USE-RHW CU STRANDED,,,,$14.10, ,,0.009,, ,$12.31,,, ,,$13.85,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,72,   3 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$14,099.20",,,M,9.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,73,,   2 USE-RHW CU STRANDED,,,,$16.29, ,,0.010,, ,$14.21,,, ,,$15.99,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,73,   2 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$16,286.92",,,M,10.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,74,,   1 USE-RHW CU STRANDED,,,,$17.47, ,,0.011,, ,$15.25,,, ,,$17.16,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,74,   1 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$17,466.98",,,M,11.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,75,, 1/0 USE-RHW CU STRANDED,,,,$22.28, ,,0.014,, ,$19.45,,, ,,$21.88,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,75, 1/0 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$22,279.43",,,M,14.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,76,, 2/0 USE-RHW CU STRANDED,,,,$28.01, ,,0.016,, ,$24.40,,, ,,$27.45,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,76, 2/0 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$28,005.61",,,M,16.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,77,, 3/0 USE-RHW CU STRANDED,,,,$35.00, ,,0.020,, ,$30.49,,, ,,$34.30,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,77, 3/0 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$34,996.51",,,M,20.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,78,, 4/0 USE-RHW CU STRANDED,,,,$43.71, ,,0.022,, ,$37.98,,, ,,$42.73,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,78, 4/0 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$43,708.09",,,M,22.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,79,, 250 USE-RHW CU STRANDED,,,,$46.96, ,,0.024,, ,$40.82,,, ,,$45.92,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,79, 250 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$46,961.00",,,M,24.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,80,, 300 USE-RHW CU STRANDED,,,,$53.65, ,,0.026,, ,$46.58,,, ,,$52.41,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,80, 300 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$53,649.05",,,M,26.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,81,, 350 USE-RHW CU STRANDED,,,,$63.74, ,,0.032,, ,$55.38,,, ,,$62.30,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,81, 350 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$63,738.85",,,M,32.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,82,, 400 USE-RHW CU STRANDED,,,,$72.27, ,,0.036,, ,$62.79,,, ,,$70.64,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,82, 400 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$72,274.08",,,M,36.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,83,, 500 USE-RHW CU STRANDED,,,,$87.57, ,,0.038,, ,$75.89,,, ,,$85.37,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,83, 500 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$87,572.54",,,M,38.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,84,, 600 USE-RHW CU STRANDED,,,,$109.05, ,,0.042,, ,$94.32,,, ,,$106.12,, ,
