Report Name:,,,,,Assemblies & Byproducts  (Permanent),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Assemblies+ByProducts,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,84, 600 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$109,053.74",,,M,42.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,85,, 750 USE-RHW CU STRANDED,,,,$177.76, ,,0.048,, ,$153.06,,, ,,$172.20,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,85, 750 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$177,758.96",,,M,48.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,86,,1000 USE-RHW CU STRANDED,,,,$235.39, ,,0.054,, ,$202.37,,, ,,$227.67,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,86,1000 USE-RHW CU STRANDE,,,,1.00,,,0.00,,"$235,393.34",,,M,54.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,88,,cu bare solid wire,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,89,,  14 BARE CU SOLID,,,,$0.57, ,,0.003,, ,$0.59,,, ,,$0.66,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,117,  14 BARE CU SOLID,,,,1.00,,,0.00,,$571.64,,,M,3.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,90,,  12 BARE CU SOLID,,,,$0.89, ,,0.004,, ,$0.89,,, ,,$1.00,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,118,  12 BARE CU SOLID,,,,1.00,,,0.00,,$885.67,,,M,4.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,91,,  10 BARE CU SOLID,,,,$1.40, ,,0.005,, ,$1.36,,, ,,$1.53,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,119,  10 BARE CU SOLID,,,,1.00,,,0.00,,"$1,400.51",,,M,5.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,92,,   8 BARE CU SOLID,,,,$2.50, ,,0.006,, ,$2.33,,, ,,$2.63,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,120,   8 BARE CU SOLID,,,,1.00,,,0.00,,"$2,502.23",,,M,6.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,93,,   6 BARE CU SOLID,,,,$4.43, ,,0.007,, ,$4.01,,, ,,$4.51,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,121,   6 BARE CU SOLID,,,,1.00,,,0.00,,"$4,433.26",,,M,7.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,94,,   4 BARE CU SOLID,,,,$7.25, ,,0.008,, ,$6.45,,, ,,$7.25,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,122,   4 BARE CU SOLID,,,,1.00,,,0.00,,"$7,252.36",,,M,8.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,95,,   2 BARE CU SOLID,,,,$11.43, ,,0.010,, ,$10.07,,, ,,$11.33,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,124,   2 BARE CU SOLID,,,,1.00,,,0.00,,"$11,425.24",,,M,10.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,97,,cu bare stranded wire,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,98,,   8 BARE CU STRANDED,,,,$2.59, ,,0.006,, ,$2.40,,, ,,$2.71,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,127,   8 BARE CU STRANDED,,,,1.00,,,0.00,,"$2,585.74",,,M,6.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,99,,   6 BARE CU STRANDED,,,,$4.52, ,,0.007,, ,$4.09,,, ,,$4.60,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,128,   6 BARE CU STRANDED,,,,1.00,,,0.00,,"$4,523.59",,,M,7.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,100,,   4 BARE CU STRANDED,,,,$7.48, ,,0.008,, ,$6.64,,, ,,$7.47,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,129,   4 BARE CU STRANDED,,,,1.00,,,0.00,,"$7,476.47",,,M,8.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,101,,   2 BARE CU STRANDED,,,,$11.78, ,,0.010,, ,$10.37,,, ,,$11.67,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,131,   2 BARE CU STRANDED,,,,1.00,,,0.00,,"$11,778.60",,,M,10.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,102,,   1 BARE CU STRANDED,,,,$0.00, ,,0.011,, ,$0.37,,, ,,$0.42,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,132,   1 BARE CU STRANDED,,,,1.00,,,0.00,,$0.00,,,M,11.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,103,, 1/0 BARE CU STRANDED,,,,$16.75, ,,0.014,, ,$14.74,,, ,,$16.58,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,133, 1/0 BARE CU STRANDED,,,,1.00,,,0.00,,"$16,748.33",,,M,14.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,104,, 2/0 BARE CU STRANDED,,,,$20.65, ,,0.016,, ,$18.13,,, ,,$20.40,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,134, 2/0 BARE CU STRANDED,,,,1.00,,,0.00,,"$20,652.77",,,M,16.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,105,, 3/0 BARE CU STRANDED,,,,$23.82, ,,0.020,, ,$20.97,,, ,,$23.59,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,135, 3/0 BARE CU STRANDED,,,,1.00,,,0.00,,"$23,819.39",,,M,20.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,106,, 4/0 BARE CU STRANDED,,,,$32.79, ,,0.022,, ,$28.67,,, ,,$32.26,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,136, 4/0 BARE CU STRANDED,,,,1.00,,,0.00,,"$32,788.27",,,M,22.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,107,, 250 BARE CU STRANDED,,,,$36.96, ,,0.024,, ,$32.29,,, ,,$36.33,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,137, 250 BARE CU STRANDED,,,,1.00,,,0.00,,"$36,957.16",,,M,24.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,108,, 300 BARE CU STRANDED,,,,$41.76, ,,0.026,, ,$36.45,,, ,,$41.01,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,138, 300 BARE CU STRANDED,,,,1.00,,,0.00,,"$41,761.58",,,M,26.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,109,, 350 BARE CU STRANDED,,,,$51.61, ,,0.032,, ,$45.05,,, ,,$50.68,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,139, 350 BARE CU STRANDED,,,,1.00,,,0.00,,"$51,611.17",,,M,32.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,110,, 400 BARE CU STRANDED,,,,$65.96, ,,0.036,, ,$57.40,,, ,,$64.58,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,140, 400 BARE CU STRANDED,,,,1.00,,,0.00,,"$65,955.64",,,M,36.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,111,, 500 BARE CU STRANDED,,,,$73.66, ,,0.042,, ,$64.17,,, ,,$72.19,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,141, 500 BARE CU STRANDED,,,,1.00,,,0.00,,"$73,661.32",,,M,42.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,113,,cu mtw stranded wire,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,114,,   16 MTW CU STRANDED,,,,$0.13, ,,0.003,, ,$0.21,,, ,,$0.24,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,144,  16 MTW CU STRANDED,,,,1.00,,,0.00,,$128.20,,,M,3.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,115,,   14 MTW CU STRANDED,,,,$0.19, ,,0.003,, ,$0.26,,, ,,$0.29,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,145,  14 MTW CU STRANDED,,,,1.00,,,0.00,,$188.69,,,M,3.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,116,,   12 MTW CU STRANDED,,,,$0.25, ,,0.004,, ,$0.34,,, ,,$0.39,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,146,  12 MTW CU STRANDED,,,,1.00,,,0.00,,$245.75,,,M,4.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,117,,   10 MTW CU STRANDED,,,,$0.38, ,,0.005,, ,$0.49,,, ,,$0.55,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,147,  10 MTW CU STRANDED,,,,1.00,,,0.00,,$380.54,,,M,5.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,118,,    8 MTW CU STRANDED,,,,$0.67, ,,0.006,, ,$0.78,,, ,,$0.87,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,148,   8 MTW CU STRANDED,,,,1.00,,,0.00,,$674.10,,,M,6.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,120,,cu tffn stranded wire,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,121,,   18 TFFN CU STRANDED,,,,$0.40, ,,0.002,, ,$0.41,,, ,,$0.46,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,151,  18 TFFN CU Wire,,,,1.00,,,0.00,,$402.04,,,M,2.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,122,,   16 TFFN CU STRANDED,,,,$0.56, ,,0.003,, ,$0.58,,, ,,$0.65,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,152,  16 TFFN CU Wire,,,,1.00,,,0.00,,$562.73,,,M,3.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,124,,al thhn stranded wire,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,125,,   6 AL THHN STRANDED WIRE,,,,$0.48, ,,0.005,, ,$0.58,,, ,,$0.65,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,155,6 THHN BLK STR AL WIRE ,,,,1.00,,,0.00,,$479.63,,,M,5.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,126,,   4 AL THHN STRANDED WIRE,,,,$0.59, ,,0.006,, ,$0.71,,, ,,$0.79,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,156,4 THHN BLK STR AL WIRE ,,,,1.00,,,0.00,,$592.49,,,M,6.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,127,, 3 AL THHN STRANDED WIRE 85,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,128,,   2 AL THHN STRANDED WIRE,,,,$0.75, ,,0.007,, ,$0.88,,, ,,$0.99,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,158,2 THHN BLK STR AL WIRE ,,,,1.00,,,0.00,,$751.74,,,M,7.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,129,,   1 AL THHN STRANDED WIRE,,,,$1.04, ,,0.008,, ,$1.15,,, ,,$1.30,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,159,1 THHN BLK STR AL WIRE ,,,,1.00,,,0.00,,"$1,035.98",,,M,8.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,130,, 1/0 AL THHN STRANDED WIRE,,,,$1.16, ,,0.009,, ,$1.29,,, ,,$1.46,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,160,1/0 THHN BLK STR AL WIR,,,,1.00,,,0.00,,"$1,163.48",,,M,9.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,131,, 2/0 AL THHN STRANDED WIRE,,,,$1.38, ,,0.010,, ,$1.51,,, ,,$1.70,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,161,2/0 THHN BLK STR AL WIR,,,,1.00,,,0.00,,"$1,375.02",,,M,10.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,132,, 3/0 AL THHN STRANDED WIRE,,,,$1.71, ,,0.011,, ,$1.82,,, ,,$2.05,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,162,3/0 THHN BLK STR AL WIR,,,,1.00,,,0.00,,"$1,707.14",,,M,11.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,133,, 4/0 AL THHN STRANDED WIRE,,,,$1.90, ,,0.012,, ,$2.02,,, ,,$2.27,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,163,4/0 THHN BLK STR AL WIR,,,,1.00,,,0.00,,"$1,897.54",,,M,12.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,134,, 250 AL THHN STRANDED WIRE,,,,$2.32, ,,0.014,, ,$2.44,,, ,,$2.75,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,164,250MCM THHN BLK STR AL ,,,,1.00,,,0.00,,"$2,316.38",,,M,14.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,135,, 300 AL THHN STRANDED WIRE,,,,$3.20, ,,0.016,, ,$3.26,,, ,,$3.67,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,165,300MCM THHN B.STR AL WI,,,,1.00,,,0.00,,"$3,200.63",,,M,16.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,136,, 350 AL THHN STRANDED WIRE,,,,$3.25, ,,0.018,, ,$3.38,,, ,,$3.80,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,166,350MCM THHN B.STR AL WI,,,,1.00,,,0.00,,"$3,253.52",,,M,18.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,137,, 400 AL THHN STRANDED WIRE,,,,$3.80, ,,0.022,, ,$3.98,,, ,,$4.48,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,167,400MCM THHN B. STR AL W,,,,1.00,,,0.00,,"$3,803.53",,,M,22.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,138,, 500 AL THHN STRANDED WIRE,,,,$4.19, ,,0.026,, ,$4.45,,, ,,$5.00,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,168,500MCM THHN B.STR AL WI,,,,1.00,,,0.00,,"$4,194.89",,,M,26.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,139,, 600 AL THHN STRANDED WIRE,,,,$5.32, ,,0.032,, ,$5.60,,, ,,$6.31,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,169,600MCM THHN BSTR AL WIR,,,,1.00,,,0.00,,"$5,316.06",,,M,32.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,140,, 700 AL THHN STRANDED WIRE,,,,$6.14, ,,0.042,, ,$6.64,,, ,,$7.47,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,170,700MCM THHN B. STR AL W,,,,1.00,,,0.00,,"$6,136.84",,,M,42.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,141,, 750 AL THHN STRANDED WIRE,,,,$6.20, ,,0.042,, ,$6.69,,, ,,$7.53,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,171,750MCM THHN B. STR AL W,,,,1.00,,,0.00,,"$6,200.30",,,M,42.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,142,,1000 AL THHN STRANDED WIRE,,,,$9.23, ,,0.054,, ,$9.68,,, ,,$10.89,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,172,1000MCM THHN B.STR AL W,,,,1.00,,,0.00,,"$9,229.59",,,M,54.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,144,,al xhhw stranded wire,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,145,,   6 AL XHHW STRANDED WIRE,,,,$0.49, ,,0.005,, ,$0.58,,, ,,$0.66,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,175,   6 XHHW AL STRANDED 6,,,,1.00,,,0.00,,$489.42,,,M,5.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,146,,   4 AL XHHW STRANDED WIRE,,,,$0.60, ,,0.006,, ,$0.72,,, ,,$0.81,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,176,   4 XHHW AL STRANDED 7,,,,1.00,,,0.00,,$604.58,,,M,6.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,147,,   2 AL XHHW STRANDED WIRE,,,,$0.77, ,,0.007,, ,$0.89,,, ,,$1.00,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,178,   2 XHHW AL STRANDED 1,,,,1.00,,,0.00,,$767.08,,,M,7.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,148,,   1 AL XHHW STRANDED WIRE,,,,$1.06, ,,0.008,, ,$1.17,,, ,,$1.32,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,179,   1 XHHW AL STRANDED 1,,,,1.00,,,0.00,,"$1,057.13",,,M,8.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,149,, 1/0 AL XHHW STRANDED WIRE,,,,$1.19, ,,0.009,, ,$1.31,,, ,,$1.48,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,180, 1/0 XHHW AL STRANDED 1,,,,1.00,,,0.00,,"$1,187.23",,,M,9.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,150,, 2/0 AL XHHW STRANDED WIRE,,,,$1.40, ,,0.010,, ,$1.53,,, ,,$1.72,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,181, 2/0 XHHW AL STRANDED 1,,,,1.00,,,0.00,,"$1,403.08",,,M,10.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,151,, 3/0 AL XHHW STRANDED WIRE,,,,$1.74, ,,0.011,, ,$1.85,,, ,,$2.09,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,182, 3/0 XHHW AL STRANDED 1,,,,1.00,,,0.00,,"$1,741.99",,,M,11.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,152,, 4/0 AL XHHW STRANDED WIRE,,,,$1.94, ,,0.012,, ,$2.05,,, ,,$2.31,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,183, 4/0 XHHW AL STRANDED 2,,,,1.00,,,0.00,,"$1,936.27",,,M,12.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,153,, 250 AL XHHW STRANDED WIRE,,,,$2.36, ,,0.014,, ,$2.48,,, ,,$2.79,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,184, 250 XHHW AL STRANDED 2,,,,1.00,,,0.00,,"$2,363.66",,,M,14.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,154,, 300 AL XHHW STRANDED WIRE,,,,$3.27, ,,0.016,, ,$3.32,,, ,,$3.74,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,185, 300 XHHW AL STRANDED 2,,,,1.00,,,0.00,,"$3,265.96",,,M,16.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,155,, 350 AL XHHW STRANDED WIRE,,,,$3.32, ,,0.018,, ,$3.43,,, ,,$3.86,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,186, 350 XHHW AL STRANDED 2,,,,1.00,,,0.00,,"$3,319.91",,,M,18.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,156,, 400 AL XHHW STRANDED WIRE,,,,$3.88, ,,0.022,, ,$4.05,,, ,,$4.55,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,187, 400 XHHW AL STRANDED 3,,,,1.00,,,0.00,,"$3,881.16",,,M,22.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,157,, 500 AL XHHW STRANDED WIRE,,,,$4.28, ,,0.026,, ,$4.52,,, ,,$5.09,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,188, 500 XHHW AL STRANDED 3,,,,1.00,,,0.00,,"$4,280.50",,,M,26.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,158,, 600 AL XHHW STRANDED WIRE,,,,$5.42, ,,0.032,, ,$5.70,,, ,,$6.41,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,189, 600 XHHW AL STRANDED 3,,,,1.00,,,0.00,,"$5,424.55",,,M,32.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,159,, 750 AL XHHW STRANDED WIRE,,,,$6.33, ,,0.042,, ,$6.80,,, ,,$7.65,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,190, 750 XHHW AL STRANDED 4,,,,1.00,,,0.00,,"$6,326.84",,,M,42.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,160,, 1000 AL XHHW STRANDED WIRE,,,,$9.42, ,,0.054,, ,$9.84,,, ,,$11.07,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,191,1000 XHHW AL STRANDED 5,,,,1.00,,,0.00,,"$9,417.95",,,M,54.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,162,,al use rhh rhw stranded wir,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,163,,   6 AL USE RHH RHW STRANDE,,,,$0.62, ,,0.005,, ,$0.69,,, ,,$0.78,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,194,6 USE RHH RHW BLK STR A,,,,1.00,,,0.00,,$618.02,,,M,5.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,164,,   4 AL USE RHH RHW STRANDE,,,,$0.71, ,,0.006,, ,$0.81,,, ,,$0.91,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,195,4 USE RHH RHW BLK STR A,,,,1.00,,,0.00,,$710.18,,,M,6.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,165,,   2 AL USE RHH RHW STRANDE,,,,$0.92, ,,0.007,, ,$1.02,,, ,,$1.15,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,197,2 USE RHH RHW BLK STR A,,,,1.00,,,0.00,,$918.82,,,M,7.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,166,,   1 AL USE RHH RHW STRANDE,,,,$1.20, ,,0.008,, ,$1.29,,, ,,$1.45,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,198,1 USE RHH RHW BLK STR A,,,,1.00,,,0.00,,"$1,197.64",,,M,8.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,167,, 1/0 AL USE RHH RHW STRANDE,,,,$1.38, ,,0.009,, ,$1.48,,, ,,$1.67,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,199,1/0 USE RHH RHW STR AL ,,,,1.00,,,0.00,,"$1,383.84",,,M,9.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,168,, 2/0 AL USE RHH RHW STRANDE,,,,$1.63, ,,0.010,, ,$1.72,,, ,,$1.94,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,200,2/0 USE RHH RHW STR AL ,,,,1.00,,,0.00,,"$1,625.29",,,M,10.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,169,, 3/0 AL USE RHH RHW STRANDE,,,,$1.97, ,,0.011,, ,$2.04,,, ,,$2.30,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,201,3/0 USE RHH RHW STR AL ,,,,1.00,,,0.00,,"$1,965.46",,,M,11.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,170,, 4/0 AL USE RHH RHW STRANDE,,,,$2.19, ,,0.012,, ,$2.27,,, ,,$2.55,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,202,4/0 USE RHH RHW STR AL ,,,,1.00,,,0.00,,"$2,186.14",,,M,12.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,171,, 250 AL USE RHH RHW STRANDE,,,,$2.89, ,,0.014,, ,$2.93,,, ,,$3.30,, ,
