Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
"39,607","BRACKET W/ 3"" SPOOL INS",,,,1.00,,,0.00,,$0.00,,,E,0.30,,E,,,,
"30,058",,24.9/14.4 kv rus,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,059",,dbl sup post ins,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,060",,DBL SUPPORT POST INS (RUS V,,,,$0.00, ,,2.340,, ,$78.62,,, ,,$88.45,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"36,867","5/8""X10"" MACHINE BOLT",,,,4.00,,,0.00,,$0.00,,,E,0.11,,E,,,,
"39,860","5/8"" LOCKNUT M-F CURVED",,,,4.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"39,607","BRACKET W/ 3"" SPOOL INS",,,,1.00,,,0.00,,$0.00,,,E,0.30,,E,,,,
"36,901","5/8"" 2 1/4""X2 1/4"" FLAT",,,,3.00,,,0.00,,$0.00,,,E,0.00,,E,,,,
"39,720","24.9/14.4KV 14"" -1.75"" ",,,,2.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"39,769","BRACKET, POLE TOP FOR P",,,,2.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"30,063",,24.9/14.4 kv rus,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,064",,dbl sup on crsarms,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,065",,DBL SUPPORT CROSSARMS (RUS ,,,,$0.00, ,,11.150,, ,$374.64,,, ,,$421.47,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"36,829","PIN INSUL 1"" 24.9/14.4K",,,,2.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"37,080","1/2"" X 4"" LAG BOLT",,,,2.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"36,927","5/8 x 14""  STL CROSSARM",,,,2.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"37,212","5/8"" X 14"" BOLT DOUBLE ",,,,3.00,,,0.00,,$0.00,,,E,0.25,,E,,,,
"39,860","5/8"" LOCKNUT M-F CURVED",,,,14.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"36,901","5/8"" 2 1/4""X2 1/4"" FLAT",,,,12.00,,,0.00,,$0.00,,,E,0.00,,E,,,,
"36,926","5/8 x 10 3/4""  STL CR-A",,,,2.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"37,068","3/8"" X 4 1/2"" CARRIAGE ",,,,4.00,,,0.00,,$0.00,,,E,0.08,,E,,,,
"38,741","POLE # & LETTERS, METAL",,,,4.00,,,0.00,,$0.00,,,E,0.15,,E,,,,
"39,532","26"" BRACE, PLASTIC  CRO",,,,4.00,,,0.00,,$0.00,,,E,0.45,,E,,,,
"36,819","PIN INSUL 1"" 13.2/7.62K",,,,2.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"36,953",8' CROSSARM TYPE-4  FIB,,,,2.00,,,0.00,,$0.00,,,E,1.20,,E,,,,
"30,066",,DBL SUPPORT CROSSARMS (RUS ,,,,$0.00, ,,9.210,, ,$309.46,,, ,,$348.14,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"37,212","5/8"" X 14"" BOLT DOUBLE ",,,,3.00,,,0.00,,$0.00,,,E,0.25,,E,,,,
"39,860","5/8"" LOCKNUT M-F CURVED",,,,14.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"37,080","1/2"" X 4"" LAG BOLT",,,,2.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"36,819","PIN INSUL 1"" 13.2/7.62K",,,,2.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"36,953",8' CROSSARM TYPE-4  FIB,,,,2.00,,,0.00,,$0.00,,,E,1.20,,E,,,,
"36,901","5/8"" 2 1/4""X2 1/4"" FLAT",,,,12.00,,,0.00,,$0.00,,,E,0.00,,E,,,,
"36,926","5/8 x 10 3/4""  STL CR-A",,,,2.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"37,068","3/8"" X 4 1/2"" CARRIAGE ",,,,4.00,,,0.00,,$0.00,,,E,0.08,,E,,,,
"38,741","POLE # & LETTERS, METAL",,,,4.00,,,0.00,,$0.00,,,E,0.15,,E,,,,
"39,532","26"" BRACE, PLASTIC  CRO",,,,2.00,,,0.00,,$0.00,,,E,0.45,,E,,,,
